index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
155,a_41,HVF,448781,449463,DVF,HVF,HPR,449464,450307,450911,450306,450910,517821
156,a_41,HVF,532009,532538,DVF,HVF,HPR,532539,533382,534114,533381,534113,800000
157,a_42,HVF,366371,371212,DVF,HVF,HAS,371213,372056,372671,372055,372670,377590
158,a_42,HAS,468026,473257,DAS,HAS,HPE,473258,474101,474612,474100,474611,476935
159,a_42,HPE,474612,476935,DPE,HPE,HAS,476936,477776,478033,477775,478032,479981
160,a_42,HVF,591780,608361,DVF,HVF,HAS,608362,609201,609789,609200,609788,618815
161,a_42,HVF,618816,633798,DVF,HVF,HPE,633799,634641,635529,634640,635528,701011
162,a_43,HVF,70812,94799,DVF,HVF,HPE,94800,95643,96641,95642,96640,111850
163,l_45,HVF,44,4235,DVF,HVF,HPE,4236,5077,5136,5076,5135,15398
164,l_45,HVF,100461,107029,DVF,HVF,HPE,107030,107857,108427,107856,108426,111802
165,l_45,HVT,192986,201229,DVT,HVT,HVF,201230,202072,202911,202071,202910,215030
166,l_45,HVF,741711,750028,DVF,HVF,HPE,750029,750872,751346,750871,751345,760050
167,l_46,HVF,169853,179442,DVF,HVF,HAS,179443,180284,180945,180283,180944,187945
168,l_46,HVF,223345,236391,DVF,HVF,HAS,236392,237219,237887,237218,237886,246234
169,l_46,HVF,308487,312789,DVF,HVF,HPE,312790,313619,314008,313618,314007,316379
170,l_46,HVF,351610,361525,DVF,HVF,HAS,361526,362354,362795,362353,362794,371393
171,l_46,HVF,437792,451640,DVF,HVF,HPR,451641,452469,452527,452468,452526,474985
172,l_46,HVF,568589,579113,DVF,HVF,HPR,579114,579939,580005,579938,580004,582503
173,l_47,HVF,4761,13446,DVF,HVF,HAS,13447,14275,14774,14274,14773,21282
174,l_47,HVF,28078,39643,DVF,HVF,HAS,39644,40485,41227,40484,41226,48980
175,l_47,HVF,63932,71158,DVF,HVF,HAS,71159,72000,72664,71999,72663,79679
176,l_49,HVF,34,6824,DVF,HVF,HAS,6825,7652,8485,7651,8484,14104
177,l_49,HVF,41198,110684,DVF,HVF,HAS,110685,111512,112280,111511,112279,118324
178,l_49,HVF,132920,142674,DVF,HVF,HAS,142675,143502,144097,143501,144096,146547
179,l_50,HVF,224617,246276,DVF,HVF,HAS,246277,247117,247659,247116,247658,263996
180,l_50,HVF,287882,297765,DVF,HVF,HAS,297766,298592,298990,298591,298989,311951
181,l_50,HVF,383860,385240,DVF,HVF,HPE,385241,386067,386325,386066,386324,391434
182,l_50,HVF,397517,407747,DVF,HVF,HPE,407748,408572,408838,408571,408837,411794
183,l_52,HVF,1,468,DVF,HVF,HAS,469,1294,2571,1293,2570,6721
184,l_53,HVF,17238,24639,DVF,HVF,HAS,24640,25481,26142,25480,26141,27886
185,l_53,HVF,27887,36290,DVF,HVF,HAS,36291,37131,37677,37130,37676,45142
186,l_54,HVF,46,6621,DVF,HVF,HAS,6622,7463,7760,7462,7759,13243
187,l_54,HVF,149157,176027,DVF,HVF,HPE,176028,176869,177354,176868,177353,180272
188,l_54,HVF,265946,274863,DVF,HVF,HPE,274864,275704,275883,275703,275882,283139
189,l_55,HVF,42541,52561,DVF,HVF,HAS,52562,53402,54167,53401,54166,62256
190,l_56,HVF,1,211,DVF,HVF,HAS,212,1053,1777,1052,1776,22141
191,l_56,HVF,111358,122630,DVF,HVF,HAS,122631,123473,124017,123472,124016,126229
192,l_56,HVF,318085,329756,DVF,HVF,HAS,329757,330598,331162,330597,331161,345130
193,l_56,HVF,530048,540120,DVF,HVF,HAS,540121,540948,541616,540947,541615,588514
